item,reason
8804,no-data
8803,no-data
8805,no-data
8806,no-data
8807,no-data
8788,no-data
8808,no-data
8809,no-data
8790,no-data
8812,no-data
8810,no-data
8814,no-data
8811,no-data
8815,no-data
8818,no-data
8819,no-data
8801,no-data
8813,no-data
8816,no-data
8817,no-data
8820,no-data
8822,no-data
8823,no-data
8825,no-data
8826,no-data
8844,no-data
8837,no-data
8835,no-data
8843,no-data
8847,no-data
8848,no-data
8849,no-data
8851,no-data
8853,no-data
8850,no-data
8854,no-data
8855,no-data
8857,no-data
8859,no-data
8862,no-data
8858,no-data
8860,no-data
8856,no-data
8863,no-data
8861,no-data
8864,no-data
8865,no-data
8852,no-data
8867,no-data
8869,no-data
8866,no-data
8868,no-data
8873,no-data
8870,no-data
8872,no-data
8875,no-data
8877,no-data
8878,no-data
8871,no-data
8876,no-data
8879,no-data
8874,no-data
8882,no-data
8884,no-data
8885,no-data
8883,no-data
8893,no-data
8897,no-data
8898,no-data
8895,no-data
8896,no-data
8899,no-data
8901,no-data
8900,no-data
8903,no-data
8902,no-data
8904,no-data
8908,no-data
8909,no-data
8910,no-data
8911,no-data
8912,no-data
8913,no-data
8916,no-data
8914,no-data
8918,no-data
8915,no-data
8919,no-data
8920,no-data
8922,no-data
8921,no-data
8917,no-data
8894,no-data
8929,no-data
8928,no-data
8933,no-data
8927,no-data
8941,no-data
8939,no-data
8943,no-data
8946,no-data
8945,no-data
8947,no-data
8938,no-data
8940,no-data
8942,no-data
8944,no-data
8954,no-data
8958,no-data
8962,no-data
8961,no-data
8969,no-data
8970,no-data
8971,no-data
8966,no-data
8968,no-data
8977,no-data
8974,no-data
8975,no-data
8976,no-data
8964,no-data
8979,no-data
8972,no-data
8983,no-data
8980,no-data
8978,no-data
8981,no-data
8992,no-data
8994,no-data
8995,no-data
8989,no-data
8993,no-data
8997,no-data
8998,no-data
8999,no-data
8996,no-data
9000,no-data
9001,no-data
9004,no-data
9002,no-data
8991,no-data
9006,no-data
9003,no-data
8990,no-data
9011,no-data
9008,no-data
9012,no-data
9005,no-data
9010,no-data
9013,no-data
9014,no-data
9016,no-data
9017,no-data
9009,no-data
9015,no-data
9020,no-data
9007,no-data
9018,no-data
9021,no-data
9022,no-data
9019,no-data
9025,no-data
9026,no-data
9028,no-data
9023,no-data
9024,no-data
9027,no-data
